MUNICIPIO,CLASSIFICADOR_TIPO,CLASSIFICADOR,SETOR
DIVINOPOLIS,NREDS,2015-028254501-001,ALTO GOIAS
DIVINOPOLIS,NREDS,2016-005035783-001,ALTO GOIAS
DIVINOPOLIS,NREDS,2016-011200695-001,ALTO GOIAS
DIVINOPOLIS,NREDS,2018-001153165-001,ALTO GOIAS
DIVINOPOLIS,NRAT,2018-007709637-001,ALTO GOIAS
DIVINOPOLIS,NREDS,2018-014215927-001,ALTO GOIAS
DIVINOPOLIS,NREDS,2018-025276030-001,HIPER CENTRO
DIVINOPOLIS,NREDS,2018-025281151-001,HIPER CENTRO
DIVINOPOLIS,NREDS,2018-031990366-001,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO,ABATEDOURO UAI AGROINDUSTRIA - BR 494 PROXIMO XAVANTE,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO,BRAULINA MICHELINE,ALTO GOIAS
DIVINOPOLIS,BAIRRO,CHACARAS XAVANTE,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,CHACARAS XAVANTE,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO,CLARINDO ANTONIO DE MELO,ALTO GOIAS
DIVINOPOLIS,BAIRRO,CONJUNTO HABITACIONAL WALCHIR RESENDE,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO,DELFINOPOLIS,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO,INHAPIM,ALTO GOIAS
DIVINOPOLIS,BAIRRO,IPIRANGA,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ipiranga,ALTO GOIAS
DIVINOPOLIS,BAIRRO,JARDIM BRASILIA,ALTO GOIAS
DIVINOPOLIS,BAIRRO,LEVINDO DE PAULA PEREIRA,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,LEVINDO DE PAULA PEREIRA,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,ONZE DE NOVEMBRO,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ORION,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,PARA,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,PARA,ALTO GOIAS
DIVINOPOLIS,BAIRRO,VILA BELO HORIZONTE,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,VILA BELO HORIZONTE,ALTO GOIAS
DIVINOPOLIS,LOGRADOURO,XAVANTE,ALTO GOIAS
DIVINOPOLIS,BAIRRO,XAVANTES,ALTO GOIAS
DIVINOPOLIS,NREDS,2015-004484204-001,BOM PASTOR
DIVINOPOLIS,NREDS,2018-016364554-001,BOM PASTOR
DIVINOPOLIS,NREDS,2018-029935221-001,BOM PASTOR
DIVINOPOLIS,NREDS,2018-042224523-001,BOM PASTOR
DIVINOPOLIS,BAIRRO,AFONSO PENA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,afonso pena,BOM PASTOR
DIVINOPOLIS,BAIRRO,ALTO SAO VICENTE,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,alto SAO vicente,BOM PASTOR
DIVINOPOLIS,BAIRRO,ALVORADA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ALVORADA,BOM PASTOR
DIVINOPOLIS,BAIRRO,ANCHIETA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ANCHIETA,BOM PASTOR
DIVINOPOLIS,COMPLEMENTO_ENDERECO,Arena Hangar,ALTO GOIAS
DIVINOPOLIS,COMPLEMENTO_ENDERECO,BAIRRO LIBERDADE,BOM PASTOR
DIVINOPOLIS,BAIRRO,BOM PASTOR,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,BOM PASTOR,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,CACHOEIRA DO CAIXAO,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,CACHOEIRINHA,PLANALTO
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,CACHOEIRINHA,PLANALTO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,CANDELÁRIA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,CONCEICAO OLIVEIRA MELO,BOM PASTOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,CONCEICAO OLIVEIRA MELO,BOM PASTOR
DIVINOPOLIS,BAIRRO,CONJUNTO OSWALDO MACHADO GONTIJO,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,DIVINO ESPIRITO SANTO,HIPER CENTRO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,FONTE BOA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,FORTALEZA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,GUANABARA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,ITUMIRITINGA,BOM PASTOR
DIVINOPOLIS,BAIRRO,JARDIM CANDELARIA,BOM PASTOR
DIVINOPOLIS,BAIRRO,JARDIM CAPITAO SILVA,BOM PASTOR
DIVINOPOLIS,BAIRRO,JARDIM DAS OLIVEIRAS,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,JARDIM DAS OLIVEIRAS,BOM PASTOR
DIVINOPOLIS,BAIRRO,JARDIM DAS OLIVEIRAS II,BOM PASTOR
DIVINOPOLIS,BAIRRO,JARDIM NOVA AMERICA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,jardim nova america,BOM PASTOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,JK,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,JOAO TEODORO FERREIRA,BOM PASTOR
DIVINOPOLIS,BAIRRO,LIBERDADE,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,LIBERDADE,BOM PASTOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,MARIA DE LOURDES TEIXEIRA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,MARIA MOREIRA LIMA,BOM PASTOR
DIVINOPOLIS,BAIRRO,NOSSA SENHORA DA CONCEICAO,BOM PASTOR
DIVINOPOLIS,BAIRRO,NOVA FORTALEZA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,NOVA FORTALEZA,BOM PASTOR
DIVINOPOLIS,BAIRRO,NOVA FORTALEZA II,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,NOVA FORTALEZA II,BOM PASTOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,OSVALDO FERNANDES DA COSTA,BOM PASTOR
DIVINOPOLIS,BAIRRO,PADRE LIBERIO,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,PADRE LIBERIO,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,padre libério,BOM PASTOR
DIVINOPOLIS,BAIRRO,PARQUE JARDIM CAPITAO SILVA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,PETROPOLIS,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,PITANGUI,BOM PASTOR
DIVINOPOLIS,BAIRRO,PROLONGAMENTO BOM PASTOR,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,PROLONGAMENTO BOM PASTOR,BOM PASTOR
DIVINOPOLIS,BAIRRO,RESIDENCIAL ALTO DAS OLIVEIRAS,BOM PASTOR
DIVINOPOLIS,BAIRRO,RESIDENCIAL DOM CRISTIANO,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,RESIDENCIAL DOM CRISTIANO,BOM PASTOR
DIVINOPOLIS,BAIRRO,RESIDENCIAL FONTE BOA,BOM PASTOR
DIVINOPOLIS,BAIRRO,RESIDENCIAL RINALDO CAMPOS SOARES,BOM PASTOR
DIVINOPOLIS,BAIRRO,SANTA CLARA,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SANTA CLARA,BOM PASTOR
DIVINOPOLIS,BAIRRO,SANTA MARTHA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,SANTA RITA DE CASSIA,BOM PASTOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,SANTA RITA DE CASSIA,BOM PASTOR
DIVINOPOLIS,BAIRRO,SANTO ANTONIO,ALTO GOIAS
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,santo antonio,ALTO GOIAS
DIVINOPOLIS,BAIRRO,SAO SEBASTIAO,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,SAO SEBASTIAO,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,SAO VICENTE,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,SERRA DO CRISTAL,HIPER CENTRO
DIVINOPOLIS,BAIRRO,SERRA VERDE,BOM PASTOR
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,serra verde,BOM PASTOR
DIVINOPOLIS,LOGRADOURO,TRES MARIAS,BOM PASTOR
DIVINOPOLIS,BAIRRO,VILA CRUZEIRO,HIPER CENTRO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,VILA CRUZEIRO,HIPER CENTRO
DIVINOPOLIS,BAIRRO,VILA SANTO ANDRE,HIPER CENTRO
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,VINTE E UM DE ABRIL,HIPER CENTRO
DIVINOPOLIS,BAIRRO,VISTA ALEGRE,PLANALTO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,VISTA ALEGRE,PLANALTO
DIVINOPOLIS,NREDS,2018-043506650-001,HIPER CENTRO
DIVINOPOLIS,BAIRRO,CENTRO,HIPER CENTRO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,centro,HIPER CENTRO
DIVINOPOLIS,LOGRADOURO,DO ROSARIO,HIPER CENTRO
DIVINOPOLIS,LOGRADOURO,MARANHAO,HIPER CENTRO
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,MG 050,PLANALTO
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,OESTE DE MINAS,HIPER CENTRO
DIVINOPOLIS,BAIRRO,ORION,ALTO GOIAS
DIVINOPOLIS,BAIRRO,PLANALTO,PLANALTO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,planalto,PLANALTO
DIVINOPOLIS,PONTO_DE_REFERENCIA,PLANALTO,PLANALTO
DIVINOPOLIS,LOGRADOURO,RIO DE JANEIRO,HIPER CENTRO
DIVINOPOLIS,BAIRRO,SANTA LUZIA,PLANALTO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,Santa Luzia,PLANALTO
DIVINOPOLIS,BAIRRO,SAO PAULO,SAO JOSE
DIVINOPOLIS,LOGRADOURO,SETE DE SETEMBRO,HIPER CENTRO
DIVINOPOLIS,NREDS,2015-001602297-001,PLANALTO
DIVINOPOLIS,NREDS,2015-008338972-001,PLANALTO
DIVINOPOLIS,NREDS,2015-008365016-001,PLANALTO
DIVINOPOLIS,NREDS,2015-009415510-001,PLANALTO
DIVINOPOLIS,NREDS,2015-010191472-001,PLANALTO
DIVINOPOLIS,NREDS,2015-010816751-001,PLANALTO
DIVINOPOLIS,NREDS,2015-010878922-001,PLANALTO
DIVINOPOLIS,NREDS,2015-013362800-001,PLANALTO
DIVINOPOLIS,NREDS,2015-014689314-001,PLANALTO
DIVINOPOLIS,NREDS,2015-015207809-001,PLANALTO
DIVINOPOLIS,NREDS,2015-017253295-001,SAO JOSE
DIVINOPOLIS,NREDS,2015-018173230-001,PLANALTO
DIVINOPOLIS,NREDS,2015-018490330-001,PLANALTO
DIVINOPOLIS,NREDS,2015-018694673-001,PLANALTO
DIVINOPOLIS,NREDS,2015-020405479-001,PLANALTO
DIVINOPOLIS,NREDS,2015-021230530-001,PLANALTO
DIVINOPOLIS,NREDS,2015-021560429-001,
DIVINOPOLIS,NREDS,2015-021612007-001,PLANALTO
DIVINOPOLIS,NREDS,2015-022528972-001,PLANALTO
DIVINOPOLIS,NREDS,2015-023395969-001,PLANALTO
DIVINOPOLIS,NREDS,2015-024384170-001,PLANALTO
DIVINOPOLIS,NREDS,2015-024564338-001,PLANALTO
DIVINOPOLIS,NREDS,2015-024916573-001,PLANALTO
DIVINOPOLIS,NREDS,2015-025004710-001,PLANALTO
DIVINOPOLIS,NREDS,2015-028022412-001,PLANALTO
DIVINOPOLIS,NREDS,2016-000319664-001,PLANALTO
DIVINOPOLIS,NREDS,2016-001791504-001,
DIVINOPOLIS,NREDS,2016-002944407-001,PLANALTO
DIVINOPOLIS,NREDS,2016-005181042-001,PLANALTO
DIVINOPOLIS,NREDS,2016-006298710-001,
DIVINOPOLIS,NREDS,2016-007809906-001,
DIVINOPOLIS,NREDS,2016-008057290-001,PLANALTO
DIVINOPOLIS,NREDS,2016-008622455-001,PLANALTO
DIVINOPOLIS,NREDS,2016-008766386-001,PLANALTO
DIVINOPOLIS,NREDS,2016-010518604-001,
DIVINOPOLIS,NREDS,2016-013813656-001,PLANALTO
DIVINOPOLIS,NREDS,2016-014404174-001,PLANALTO
DIVINOPOLIS,NREDS,2016-014934053-001,PLANALTO
DIVINOPOLIS,NREDS,2016-014946738-001,PLANALTO
DIVINOPOLIS,NREDS,2016-015082456-001,PLANALTO
DIVINOPOLIS,NREDS,2016-015886141-001,PLANALTO
DIVINOPOLIS,NREDS,2016-016422051-001,PLANALTO
DIVINOPOLIS,NREDS,2016-017257027-001,PLANALTO
DIVINOPOLIS,NREDS,2016-017271375-001,PLANALTO
DIVINOPOLIS,NREDS,2016-017542422-001,PLANALTO
DIVINOPOLIS,NREDS,2016-018038580-001,PLANALTO
DIVINOPOLIS,NREDS,2016-018069251-001,PLANALTO
DIVINOPOLIS,NREDS,2016-018105470-001,PLANALTO
DIVINOPOLIS,NREDS,2016-020003327-001,PLANALTO
DIVINOPOLIS,NREDS,2016-020604107-001,PLANALTO
DIVINOPOLIS,NREDS,2016-021098549-001,PLANALTO
